team,date,points,assists,rebounds
string,number,number,number,number
BOS,20120101,94,26,41
CHI,20120101,104,24,55
LAL,20120101,90,19,44
MIA,20120102,92,23,40
OKC,20120102,87,12,41
SAS,20120102,96,26,30
CHI,20120103,76,16,47
OKC,20120103,93,22,40
LAL,20120103,108,25,53
BOS,20120104,89,24,45
MIA,20120104,118,25,42
CHI,20120104,99,31,40
SAS,20120104,101,23,45
MIA,20120105,116,25,56
SAS,20120105,93,22,42
LAL,20120105,96,15,47
BOS,20120106,74,16,36
CHI,20120106,97,27,46
OKC,20120106,109,20,39
LAL,20120106,97,27,47
LAL,20120206,90,23,55
CHI,20120206,108,29,39
SAS,20120206,89,15,46
OKC,20120206,111,17,59
BOS,20120210,74,18,34
MIA,20120210,106,22,46
CHI,20120210,95,22,53
LAL,20120210,85,13,48
BOS,20120216,80,15,37
CHI,20120216,89,27,52
OKC,20120229,92,12,56
BOS,20120229,102,26,52
SAS,20120302,102,20,55
MIA,20120302,98,17,32
CHI,20120305,92,20,60
OKC,20120305,95,13,45
LAL,20120306,85,22,51
CHI,20120312,104,25,56
SAS,20120312,112,30,46
BOS,20120312,94,24,31
LAL,20120314,107,24,44
MIA,20120314,102,17,34
CHI,20120314,106,20,50
OKC,20120315,103,22,39
CHI,20120317,89,15,53
SAS,20120317,99,24,35
BOS,20120317,91,27,27
CHI,20120319,85,19,48
BOS,20120319,79,21,40
MIA,20120320,99,24,41
LAL,20120320,104,18,31
OKC,20120320,90,15,41
CHI,20120321,94,20,49
SAS,20120321,116,29,56
OKC,20120321,114,20,49
LAL,20120321,109,25,46
BOS,20120322,100,30,47
MIA,20120323,88,24,45
OKC,20120323,149,24,50
BOS,20120323,86,28,35
SAS,20120323,104,28,54
LAL,20120323,103,33,53
CHI,20120324,102,23,44
SAS,20120324,89,17,42
OKC,20120325,103,26,36
MIA,20120325,87,14,31
SAS,20120325,93,21,46
LAL,20120325,96,21,38
BOS,20120326,102,21,37
MIA,20120326,90,11,33
CHI,20120326,91,24,32
